feature,method,score,p_value,reference_mean,current_mean,drifted
step,ks_numeric,1.0,0.0,193.47539682718602,754.3617021276596,True
dest_prior_count,ks_numeric,0.7323790368205917,2.746894127193681e-26,5.267364923204556,0.0851063829787234,True
dest_steps_since_last,ks_numeric,0.7323790368205917,2.746894127193681e-26,20.184847863186206,-0.425531914893617,True
dest_first_seen,chi2_binary,0.7323790368205917,1.4561302329568412e-37,0.18251458020068487,0.9148936170212766,True
hour_sin,ks_numeric,0.5592895001018547,2.227012161805066e-14,-0.45087336472562306,0.3714312495276725,True
is_night,chi2_binary,0.3526030003299549,1.7821437904089353e-134,0.009099127329619618,0.3617021276595745,True
hour_cos,ks_numeric,0.27751831359735823,0.0010819982896508318,-0.3689077117231159,-0.14026021292335816,True
account_age_days,ks_numeric,0.2467349315222574,0.005254517704443629,359.2481941291444,261.468085106383,True
failed_payment_attempts,ks_numeric,0.20795944725871507,0.029229547949607526,0.30353915068499326,0.7659574468085106,True
young_account,chi2_binary,0.14182534821652426,0.0018812908329106709,0.09221720497496512,0.23404255319148937,True
is_new_device,chi2_binary,0.11035558906533753,0.012290451359085025,0.08113377263679013,0.19148936170212766,True
ip_country_mismatch,chi2_binary,0.08497896735691775,0.03725912474713669,0.0639572028558482,0.14893617021276595,True
high_failed_attempts,chi2_binary,0.08076940731926098,2.5724187743486257e-13,0.00433697565946242,0.0851063829787234,True
ip_billing_distance_km,ks_numeric,0.16297755016750282,0.14715841743586267,291.23665030738465,637.5723404255318,False
log_ip_distance,ks_numeric,0.16297755016750282,0.14715841743586267,1.939101573022872,2.083736790022349,False
home_US,chi2_binary,0.08305334337219805,0.2786270992889197,0.29992538003205726,0.3829787234042553,False
is_transfer,chi2_binary,0.06549722238836944,0.3375514277542607,0.18982192654780075,0.2553191489361702,False
shipping_billing_mismatch,chi2_binary,0.048016157858765215,0.39494695978647765,0.10092001235400073,0.14893617021276595,False
home_RU,chi2_binary,0.044948215699241185,0.23090346483255883,0.04015816727948222,0.0851063829787234,False
ip_GB,chi2_binary,0.04469993654640639,0.5093646127037623,0.14678942515572127,0.19148936170212766,False
ip_NG,chi2_binary,0.04145512630833764,0.38360280018443027,0.0627317220530185,0.02127659574468085,False
ip_RU,chi2_binary,0.040729820411796507,0.3164625326089878,0.044376562566926896,0.0851063829787234,False
home_NG,chi2_binary,0.0385239818273973,0.4201067553995603,0.059800577572078156,0.02127659574468085,False
home_DE,chi2_binary,0.035145386145743154,0.6054737282056653,0.12025176912446656,0.0851063829787234,False
ip_VN,chi2_binary,0.03503125697448718,0.3630618949806981,0.03503125697448718,0.0,False
ip_DE,chi2_binary,0.033626385106474116,0.6261184770444245,0.11873276808519752,0.0851063829787234,False
home_VN,chi2_binary,0.029976486819769107,0.43688745488276415,0.029976486819769107,0.0,False
home_CN,chi2_binary,0.02986737484247522,0.4386703459645551,0.02986737484247522,0.0,False
ip_IN,chi2_binary,0.02781940998854246,0.6943971687569124,0.09984016447954264,0.1276595744680851,False
home_IN,chi2_binary,0.027802727578790917,0.6947005040774188,0.09985684688929418,0.1276595744680851,False
home_GB,chi2_binary,0.02261647432570904,0.8182498195808918,0.15027604879379414,0.1276595744680851,False
home_BR,chi2_binary,0.015358580435332225,0.8989123182044797,0.06974780254339118,0.0851063829787234,False
home_FR,chi2_binary,0.015033163124468576,0.9200553725389657,0.10013954610319198,0.0851063829787234,False
ip_CN,chi2_binary,0.013595952899197041,0.9119999326090457,0.03487254864387789,0.02127659574468085,False
ip_US,chi2_binary,0.012198247080686175,0.9811154005142266,0.2856740933448457,0.2978723404255319,False
ip_BR,chi2_binary,0.007892401047240913,1.0,0.07172218828128346,0.06382978723404255,False
ip_FR,chi2_binary,0.0061537083083053196,1.0,0.10022927041509894,0.10638297872340426,False
