,importance
oldbalanceOrg,0.14005288650730024
failed_payment_attempts,0.1384802407715382
amount_to_oldbalanceOrg,0.11770016552387737
is_new_device,0.10749834876463628
drained_origin,0.06897056358832494
dest_balances_masked,0.056666426722956395
ip_country_mismatch,0.054623899152905456
high_failed_attempts,0.043535942101258225
dest_balance_err,0.03440829603786124
oldbalanceDest,0.02940770110051187
amount,0.029046219154729772
log_ip_distance,0.024224593272105084
log_amount,0.02200366210267861
shipping_billing_mismatch,0.01944288102171361
ip_billing_distance_km,0.017508485389152437
dest_steps_since_last,0.012641091967827317
is_transfer,0.012631720063758662
dest_prior_count,0.012104479360821867
newbalanceOrig,0.011439702935934713
account_age_days,0.011259520624375267
dest_first_seen,0.008085039049379194
hour_sin,0.007210761099287088
step,0.005479721762393344
hour_cos,0.004978771244870358
is_night,0.002856746125892433
young_account,0.0020647585506670466
ip_BR,0.0005273764621797494
home_GB,0.0005078758361419388
ip_VN,0.00048236524241558593
ip_IN,0.0004712563312169783
ip_GB,0.00040723017739284956
ip_US,0.0003923444632387163
home_CN,0.00035079251253367706
home_BR,0.00031425227517476015
home_DE,0.0003087459103088068
home_US,0.0002698475486312742
home_IN,0.0002514801722006103
ip_NG,0.0002246019019818203
ip_RU,0.0002161572615654902
ip_CN,0.00020591280259605403
ip_DE,0.0001935555710092637
home_NG,0.00016387979297223214
ip_FR,0.00011905766861054567
home_VN,9.66543980538591e-05
home_FR,9.140529934002135e-05
home_RU,8.258437567858884e-05
