strategy,model,auc_pr,roc_auc,precision,recall,f1,operating_threshold,business_cost,fit_seconds
original,logistic_regression,1.0,1.0,1.0,1.0,1.0,0.3,0.0,0.20913079986348748
smote,logistic_regression,1.0,1.0,1.0,1.0,1.0,0.93,0.0,0.5913261000532657
smote,xgboost,1.0,1.0,1.0,1.0,1.0,0.02,0.0,1.2882124001625925
class_weights,random_forest,1.0,1.0,1.0,1.0,1.0,0.19,0.0,0.776722300099209
class_weights,xgboost,1.0,1.0,1.0,1.0,1.0,0.9600000000000001,0.0,0.8751159999519587
original,xgboost,0.9963235294117647,0.9999949935917974,0.9411764705882353,1.0,0.9696969696969697,0.08,5.0,5.432829100172967
smote,random_forest,0.9963235294117647,0.9999949935917974,0.9411764705882353,1.0,0.9696969696969697,0.27,5.0,1.1435036999173462
class_weights,logistic_regression,0.9875,0.99997997436719,0.7272727272727273,1.0,0.8421052631578947,0.9600000000000001,30.0,0.5366853000596166
undersampling,hist_gradient_boosting,0.977046130952381,0.9999649551425824,0.6666666666666666,1.0,0.8,0.9600000000000001,40.0,0.2395715001039207
undersampling,random_forest,0.9621651785714286,0.99989987183595,0.45714285714285713,1.0,0.6274509803921569,0.5800000000000001,95.0,0.30523300007916987
smote,hist_gradient_boosting,0.9575,0.9998297821211151,1.0,0.9375,0.967741935483871,0.05,44577.32,1.12875370006077
original,random_forest,0.9386939571150097,0.9997847244472925,0.17391304347826086,1.0,0.2962962962962963,0.02,380.0,0.7657872000709176
undersampling,xgboost,0.9147759103641457,0.9997346603652676,0.32,1.0,0.48484848484848486,0.76,170.0,0.19138689991086721
class_weights,hist_gradient_boosting,0.8709972543234161,0.9380607177186799,0.001282976505492743,1.0,0.00256266517177865,0.04,62275.0,3.5470853000879288
undersampling,logistic_regression,0.8453734279029365,0.9998347885293175,0.8,1.0,0.8888888888888888,0.9600000000000001,20.0,0.18872850015759468
original,hist_gradient_boosting,0.24217974215808408,0.8114386414610704,0.3333333333333333,0.6875,0.4489795918367347,0.48000000000000004,941466.49,1.683719600085169
