,step,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,account_age_days,is_new_device,shipping_billing_mismatch,failed_payment_attempts,ip_billing_distance_km,hour_of_day,is_night,amount_zero_flag,dest_is_merchant,log_amount,errorBalanceOrig,errorBalanceDest,orig_balance_delta,dest_balance_delta,amount_to_oldOrg_ratio,amount_to_oldDest_ratio,zero_dest_balance,ip_country_mismatch,tx_count_prev_orig,time_since_prev_orig,amount_mean_prev_orig,amount_vs_prev_mean_orig
step,1.0,0.02237299467458584,0.010058378359069588,0.010299036979071072,0.027665359552434342,0.0258881756526783,0.0007710338568505809,0.002716748084384779,0.0022937267732735635,0.004652441331843431,0.0009529644591274096,0.061728784466527485,0.0015505419452415054,0.0032774153923360704,0.004926155718450389,0.0073770093981403795,0.020516379286203475,0.028159346479564324,0.007254652345981194,0.0013247676728735443,0.013672735810255606,0.01790032197888137,0.008834873656163629,0.0016994933391304501,0.02070470063311905,0.02045760073591844,0.00021873246442103913,0.0011016339728094013
amount,0.02237299467458584,1.0,0.0027624747580919174,0.007860925286480084,0.2941374500176812,0.45930426729324914,0.0022360521193959967,0.0061677371400481575,0.004247854122301064,0.01064473483440054,0.004011430824119909,0.029676337872355282,0.008600388415936168,0.00047233135122616473,0.19744374806089493,0.38725963741163216,0.9706597799179406,0.18992805355385026,0.10233696813408108,0.8459636732021373,0.8170794460114417,0.27390404402534935,0.19151032323030304,0.005930451336069499,0.0005412128829596999,0.0005381458198439872,9.784527318058268e-05,0.046335732225108194
oldbalanceOrg,0.010058378359069588,0.0027624747580919174,1.0,0.9988027631723787,0.06624250133591304,0.0420286187570202,0.00019436985614382308,0.0006350441352228559,0.0017291499050066923,0.0018095870801357178,0.0004614488618460337,0.001015024219412926,0.002849612166204509,0.00045784035795674773,0.1894859341575041,0.10698043164839059,0.05050174730603397,0.1564642903455471,0.22029683142651185,0.08703189482560085,0.04013350469634129,0.022607717372438847,0.19983887559397953,0.00011164083465252848,0.00014738901275952395,0.00014768215474279337,0.00018029785224546216,0.00032872376016975056
newbalanceOrig,0.010299036979071072,0.007860925286480084,0.9988027631723787,1.0,0.0678115180626562,0.041837497145393955,0.0006586868160826219,0.0008530511450028881,0.0006787920281877042,0.0008578165844030096,0.0013365588121789158,0.0008581454125241481,0.004002498359181222,0.0004637477917210999,0.19391471197063054,0.11145271727101055,0.056897436397074494,0.16316110103761503,0.26775000310582425,0.09445628373706243,0.04058180017275713,0.03540178840624234,0.2019273432729727,0.0013716490977329877,0.0001474749676383217,0.0001477806970663307,0.00017968694111488467,0.0005477034393031702
oldbalanceDest,0.027665359552434342,0.2941374500176812,0.06624250133591304,0.0678115180626562,1.0,0.9765685054474923,0.0002890410068936816,0.001024786279285606,0.0004988009265349865,0.0010354085317292748,0.0007471758956481646,0.0015636270563941957,0.0080825788542054,9.135036306856525e-05,0.23145500958132645,0.22778898748920023,0.3042560440472983,0.025459669339166643,0.0474603980430525,0.23231568174019357,0.3078269576321324,0.04804500410748714,0.24507980040547525,0.0005264618563896881,0.0011069575786141882,0.0011148315960873053,0.00016697666791329801,0.013945145003152762
newbalanceDest,0.0258881756526783,0.45930426729324914,0.0420286187570202,0.041837497145393955,0.9765685054474923,1.0,0.0005327716202648424,0.0005035562854034624,3.850656749799815e-05,0.0001712914790902514,0.00032314714169633395,0.006697128490476088,0.009392429461060758,0.0001381607131015326,0.2383150975956873,0.26602252401215865,0.45874964505808524,0.17494225139569433,0.006451169604454858,0.43619098611617885,0.43750228159899135,0.007561570977446156,0.2523437131821602,5.38503546240835e-05,0.0010875037950413625,0.0010944249858781455,0.00016702869232532603,0.021341746957176805
account_age_days,0.0007710338568505809,0.0022360521193959967,0.00019436985614382308,0.0006586868160826219,0.0002890410068936816,0.0005327716202648424,1.0,0.0028985500486775465,0.0014999362646330552,0.003421624790026022,0.001682108396021046,0.0005124905924338521,0.001533907817127056,0.0008028339853539204,0.0011356481245468918,0.0014135604204135058,2.3714491758956242e-05,0.0008499769838148703,0.009305880400735884,0.0011993139581813357,6.511630524474931e-05,0.005023312405487124,5.471519369223172e-05,0.0018646025340272056,0.00023916537005693928,0.0002540084733317585,0.00021207691168125393,0.00046230426756552483
is_new_device,0.002716748084384779,0.0061677371400481575,0.0006350441352228559,0.0008530511450028881,0.001024786279285606,0.0005035562854034624,0.0028985500486775465,1.0,0.0039884994550601046,0.012169060274839544,0.004439363735061152,0.0028605850545466143,0.004346962618621402,0.0038975338679154477,0.0020433101423442184,0.002896412823395724,0.000995772182295652,0.004736127225959719,0.029517372378980836,0.0020091326108646504,0.00048591395888236704,0.01507721022410565,0.001021798205413207,0.0059085301661925636,5.260859548899946e-05,5.0467525901187625e-05,0.00013878680152410746,9.798697395437122e-05
shipping_billing_mismatch,0.0022937267732735635,0.004247854122301064,0.0017291499050066923,0.0006787920281877042,0.0004988009265349865,3.850656749799815e-05,0.0014999362646330552,0.0039884994550601046,1.0,0.006795220105344435,0.0026127103458596,0.0017854159565492758,0.0031917858946107817,0.00276165286561968,0.0012765786997491087,0.0020625318257157864,0.0007323526169779604,0.0022899200538525903,0.02052179681716909,0.001911626752724638,0.0003305015372373162,0.009691554497534496,0.0006990829786219769,0.0036111678840106765,0.00040922760099290753,0.00043334759420096854,0.0002666790370581458,0.00019245516240865555
failed_payment_attempts,0.004652441331843431,0.01064473483440054,0.0018095870801357178,0.0008578165844030096,0.0010354085317292748,0.0001712914790902514,0.003421624790026022,0.012169060274839544,0.006795220105344435,1.0,0.007786946911482259,0.0040576554921026705,0.008729029471544258,0.005913794012320116,0.0033890055339694455,0.005745460161562422,0.0021543100339261726,0.008012428390281622,0.052745844083129725,0.0035552394715728155,0.0013588144816339867,0.025582668542256014,0.001874716980392996,0.010202620498065865,0.0003037271895607999,0.0002997037319558303,0.0003335788268080623,0.0004993179554171093
