strategy,model,review_rows,review_fraud_rows,review_precision,review_recall,review_f1,review_fraud_value_capture_rate
original,logistic_regression,1016,16,1.0,1.0,1.0,1.0
original,random_forest,1016,16,0.8,1.0,0.8888888888888888,1.0
original,xgboost,1016,16,1.0,1.0,1.0,1.0
original,hist_gradient_boosting,1016,16,0.7333333333333333,0.6875,0.7096774193548387,0.9664891593996819
undersampling,logistic_regression,1016,16,0.9411764705882353,1.0,0.9696969696969697,1.0
undersampling,random_forest,1016,16,0.8888888888888888,1.0,0.9411764705882353,1.0
undersampling,xgboost,1016,16,0.9411764705882353,1.0,0.9696969696969697,1.0
undersampling,hist_gradient_boosting,1016,16,1.0,1.0,1.0,1.0
smote,logistic_regression,1016,16,1.0,1.0,1.0,1.0
smote,random_forest,1016,16,0.9411764705882353,1.0,0.9696969696969697,1.0
smote,xgboost,1016,16,1.0,1.0,1.0,1.0
smote,hist_gradient_boosting,1016,16,1.0,0.9375,0.967741935483871,0.9984131160928108
class_weights,logistic_regression,1016,16,0.9411764705882353,1.0,0.9696969696969697,1.0
class_weights,random_forest,1016,16,1.0,1.0,1.0,1.0
class_weights,xgboost,1016,16,1.0,1.0,1.0,1.0
class_weights,hist_gradient_boosting,1016,16,0.015810276679841896,1.0,0.0311284046692607,1.0
