feature,metric_type,reference_mean,current_mean,reference_std,current_std,psi,ks_statistic,ks_pvalue,category_distribution_shift,status
account_age_days,numeric,362.1062,362.1062,262.0782530537487,262.0782530537487,0.0,0.0,1.0,,ok
amount,numeric,181784.21598399998,181784.21598399998,508245.92215174297,508245.92215174297,0.0,0.0,1.0,,ok
amount_to_oldOrg_ratio,numeric,70632.37548184134,70632.37548184134,375537.7049181466,375537.7049181466,0.0,0.0,1.0,,ok
amount_vs_prev_mean_orig,numeric,74.88481940147197,74.88481940147197,3715.2792005477295,3715.2792005477295,0.0,0.0,1.0,,ok
errorBalanceDest,numeric,66424.86999,66424.86999,241149.05802427256,241149.05802427256,0.0,0.0,1.0,,ok
errorBalanceOrig,numeric,202836.86416800003,202836.86416800003,503109.62404125766,503109.62404125766,0.0,0.0,1.0,,ok
failed_payment_attempts,numeric,0.2928,0.2928,0.5491160767024934,0.5491160767024934,0.0,0.0,1.0,,ok
home_billing_country,categorical,,,,,,,,0.0,ok
hour_of_day,numeric,15.3112,15.3112,4.240182825077006,4.240182825077006,0.0,0.0,1.0,,ok
ip_billing_distance_km,numeric,275.99535999999995,275.99535999999995,862.886158414276,862.886158414276,0.0,0.0,1.0,,ok
ip_country,categorical,,,,,,,,0.0,ok
ip_country_mismatch,categorical,,,,,,,,0.0,ok
is_new_device,categorical,,,,,,,,0.0,ok
is_night,categorical,,,,,,,,0.0,ok
log_amount,numeric,10.876630365617563,10.876630365617563,1.7912302347354183,1.7912302347354183,0.0,0.0,1.0,,ok
oldbalanceDest,numeric,1098971.711616,1098971.711616,3286727.5972593944,3286727.5972593944,0.0,0.0,1.0,,ok
oldbalanceOrg,numeric,866894.563048,866894.563048,2964492.6356880595,2964492.6356880595,0.0,0.0,1.0,,ok
shipping_billing_mismatch,categorical,,,,,,,,0.0,ok
time_since_prev_orig,numeric,9999.0,9999.0,0.0,0.0,0.0,0.0,1.0,,ok
tx_count_prev_orig,numeric,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,ok
type,categorical,,,,,,,,0.0,ok
